phon_phonemizer,phon_ipa
k,k
p,p
t,t
s,s
ŋ,ŋ
v,v
f,f
d,d
θ,θ
b,b
ʃ,ʃ
dʒ,dʒ
ɡ,ɡ
ɹ,ɹ
n,n
z,z
m,m
h,h
ʒ,ʒ
ð,ð
tʃ,tʃ
j,j
l,l
w,w
n̩,ə n
ʊ,ʊ
ɛ,ɛ
ə,ə
ɚ,ə ɹ
iː,iː
Ɔː,ɔ
oː,ɔ
ɪ,ɪ
aɪ,aɪ
ɑ,ɑ
ɔ,ɔ
æ,æ
oʊ,oʊ
ʌ,ʌ
ɐ,ʌ
ɾ,t
eɪ,eɪ
iə,iː ə
əl,ə l
aʊ,aʊ
ɑːɹ,ɑː ɹ
ɑː,ɑ
ɛɹ,ɛ ɹ
uː,uː
ɜː,ɜː
aɪə,aɪ ə
ɔːɹ,ɔː ɹ
ɔɪ,ɔɪ
ɪɹ,ɪ ɹ
ʊɹ,ʊ ɹ
ʔ,t
r,r
