phon_celex,phon_ipa
k,k
p,p
t,t
s,s
N,ŋ
v,v
f,f
d,d
T,θ
b,b
S,ʃ
dZ,dʒ
g,ɡ
r,ɹ
n,n
z,z
m,m
h,h
Z,ʒ
D,ð
tS,tʃ
j,j
l,l
w,w
U,ʊ
E,ɛ
@,ə 
i:,iː
O:,ɔ
I,ɪ
aI,aɪ
Q,ɑ
{,æ
@U,oʊ
V,ʌ
eI,eɪ
I@,iə
aU,aʊ
A:,ɑ
u:,uː
3:,ɜː
U@,ʊ ə
OI,ɔɪ
x,x
A~:,ɑ n
A~: N,ɑ ŋ
A~: n,ɑ n
O~:,ɔ n
O~: N,ɔ ŋ
O~: n,ɔ n
