phon_cmu,phon_ipa
gn,nj
nn,n
mm,m
jj,ʒ
ss,s
ll,l
bb,b
kk,k
vv,v
zz,z
gg,ɡ
ww,w
pp,p
ff,f
ch,ʃ
rr,ʁ
yy,j
dd,d
tt,t
ou,u
ei,e
ii,i
au,o
aa,a
ai,ɛ
on,ɔ̃
an,ɑ̃
oo,o
oe,œ
eu,ø
ee,ə
un,ɛ̃
uu,y
in,ɛ̃
uy,ɥ
