phon_lexique,ipa_phon
N,ɲ
n,n
m,m
Z,ʒ
s,s
l,l
b,b
k,k
v,v
z,z
g,ɡ
w,w
p,p
f,f
S,ʃ
R,ʁ
j,j
d,d
t,t
g,n g
x,
u,u
e,e
i,i
a,a
E,ɛ
§,ɔ̃
@,ɑ̃
o,o
O,o
9,œ
2,ø
°,ə
1,œ̃
y,y
5,ɛ̃
