phon_phonemizer,phon_ipa
ɲ,ɲ
n,n
m,m
ʒ,ʒ
s,s
l,l
b,b
k,k
v,v
z,z
ɡ,ɡ
w,w
p,p
f,f
ʃ,ʃ
ʁ,ʁ
j,j
d,d
t,t
ŋ,n ɡ
tʃ,t ʃ
dʒ,d ʒ
u,u
e,e
i,i
o,o
a,a
a:,a
ɛ,ɛ
ɔ̃,ɔ̃
ɑ̃,ɑ̃
ɔ,o
œ,œ
ø,ø
ə,ə
ø:,ø
œ̃,œ̃
y,y
yː,y
ɛ̃,ɛ̃
y i,ɥ
ɪː,i
ɪ,i
